station,district,datetime,timestamp_epoch,rainfall_t0,rainfall_t_minus_1,rainfall_t_minus_2,rainfall_t_minus_3,rainfall_t_minus_4,rainfall_rolling_3h_mean,rainfall_rolling_6h_sum,rainfall_delta_1h,rainfall_acceleration,latitude,longitude,district_flooded_area_pct,district_permanent_water_pct,district_mean_flood_duration,district_hist_event_density,live_report_corroboration,volunteer_verified_weight,target_risk_15m,target_risk_30m,target_risk_60m,target_class_15m,target_class_30m,target_class_60m
LBP Quarters Campus,erode,2026-01-07 15:00,1767798000.0,1.0,0.5,0.5,3.5,3.5,0.6666666666666666,10.5,0.5,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.04296282029333333,0.04048202050095238,0.11017264928,0,0,0
LBP Quarters Campus,erode,2026-01-07 16:00,1767801600.0,1.0,1.0,0.5,0.5,3.5,0.8333333333333334,10.0,0.0,-0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.038377258596190476,0.10617264928,0,0,0
LBP Quarters Campus,erode,2026-01-07 17:00,1767805200.0,1.0,1.0,1.0,0.5,0.5,1.0,7.5,0.0,0.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.041472496691428565,0.08617264928,0,0,0
LBP Quarters Campus,erode,2026-01-07 18:00,1767808800.0,1.0,1.0,1.0,1.0,0.5,1.0,5.0,0.0,0.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.041472496691428565,0.06617264928,0,0,0
LBP Quarters Campus,erode,2026-01-07 19:00,1767812400.0,0.5,1.0,1.0,1.0,1.0,0.8333333333333334,5.0,-0.5,-0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.038377258596190476,0.06617264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 04:00,1767844800.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,5.0,0.0,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.04048202050095238,0.06617264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 05:00,1767848400.0,1.5,0.5,0.5,1.0,1.0,0.8333333333333334,5.5,1.0,1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.057546153626666666,0.048777258596190476,0.07017264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 07:00,1767855600.0,0.5,1.5,0.5,0.5,1.0,0.8333333333333334,5.0,-1.0,-2.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.038377258596190476,0.06617264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 08:00,1767859200.0,0.5,0.5,1.5,0.5,0.5,0.8333333333333334,4.5,0.0,1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.048777258596190476,0.06217264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 12:00,1767873600.0,3.5,0.5,0.5,1.5,0.5,1.5,7.0,3.0,3.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.11587948696,0.08195821097714286,0.08217264928000001,0,0,0
LBP Quarters Campus,erode,2026-01-08 13:00,1767877200.0,2.0,3.5,0.5,0.5,1.5,2.0,8.5,-1.5,-4.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.054629486959999994,0.06004392526285714,0.09417264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-08 14:00,1767880800.0,1.5,2.0,3.5,0.5,0.5,2.3333333333333335,9.5,-0.5,1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.04587948695999999,0.07663440145333333,0.10217264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 15:00,1767884400.0,0.5,1.5,2.0,3.5,0.5,1.3333333333333333,8.5,-1.0,-0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.047662972881904755,0.09417264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-08 16:00,1767888000.0,5.5,0.5,1.5,2.0,3.5,2.5,13.5,5.0,6.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.17421282029333332,0.13172963954857142,0.13417264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 17:00,1767891600.0,1.0,5.5,0.5,1.5,2.0,2.3333333333333335,14.0,-4.5,-9.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.06623440145333333,0.13817264928,0,0,0
